real_time,simulated_time,pressure_bar,pressure_state,motion,distance_cm,room_state
2025-12-04T11:31:37.247071,10:18,0,empty,IN,999,moving_in_room
2025-12-04T11:31:37.747277,10:19,0,empty,IN,999,moving_in_room
2025-12-04T11:31:38.247475,10:20,0,empty,IN,999,moving_in_room
2025-12-04T11:31:38.747677,10:21,0,empty,IN,999,moving_in_room
2025-12-04T11:31:39.248077,10:22,0,empty,IN,999,moving_in_room
2025-12-04T11:31:39.748257,10:24,0,empty,IN,999,moving_in_room
2025-12-04T11:31:40.248445,10:25,0,empty,IN,999,moving_in_room
2025-12-04T11:31:40.748651,10:26,0,empty,IN,999,moving_in_room
2025-12-04T11:31:41.248863,10:27,0,empty,IN,999,moving_in_room
2025-12-04T11:31:41.749159,10:28,0,empty,IN,999,moving_in_room
2025-12-04T11:31:42.249519,10:30,0,empty,IN,999,moving_in_room
2025-12-04T11:31:42.749722,10:31,0,empty,IN,999,moving_in_room
2025-12-04T11:31:43.249921,10:32,0,empty,IN,999,moving_in_room
2025-12-04T11:31:43.750124,10:33,0,empty,IN,999,moving_in_room
2025-12-04T11:31:44.250319,10:34,0,empty,IN,999,moving_in_room
2025-12-04T11:31:44.750521,10:36,0,empty,IN,999,moving_in_room
2025-12-04T11:31:45.250924,10:37,0,empty,IN,999,moving_in_room
2025-12-04T11:31:45.751129,10:38,0,empty,IN,999,moving_in_room
2025-12-04T11:31:46.251328,10:39,0,empty,IN,999,moving_in_room
2025-12-04T11:31:46.751531,10:40,0,empty,IN,999,moving_in_room
2025-12-04T11:31:47.251732,10:42,0,empty,IN,999,moving_in_room
2025-12-04T11:31:47.751934,10:43,0,empty,IN,999,moving_in_room
2025-12-04T11:31:48.252241,10:44,0,empty,IN,999,moving_in_room
2025-12-04T11:31:48.752443,10:45,0,empty,IN,999,moving_in_room
2025-12-04T11:31:49.252639,10:46,0,empty,IN,999,moving_in_room
2025-12-04T11:31:49.752838,10:48,0,empty,IN,999,moving_in_room
2025-12-04T11:31:50.253047,10:49,0,empty,IN,999,moving_in_room
2025-12-04T11:31:50.753243,10:50,0,empty,IN,999,moving_in_room
2025-12-04T11:31:51.253912,10:51,0,empty,IN,999,moving_in_room
2025-12-04T11:31:51.754124,10:52,0,empty,IN,999,moving_in_room
2025-12-04T11:31:52.254341,10:54,0,empty,IN,999,moving_in_room
2025-12-04T11:31:52.754543,10:55,0,empty,IN,999,moving_in_room
2025-12-04T11:31:53.254745,10:56,0,empty,IN,999,moving_in_room
2025-12-04T11:31:53.754946,10:57,0,empty,IN,999,moving_in_room
2025-12-04T11:31:54.255255,10:58,0,empty,IN,999,moving_in_room
2025-12-04T11:31:54.755460,11:00,0,empty,IN,999,moving_in_room
2025-12-04T11:31:55.255660,11:01,0,empty,IN,999,moving_in_room
2025-12-04T11:31:55.755863,11:02,0,empty,IN,999,moving_in_room
2025-12-04T11:31:56.256066,11:03,0,empty,IN,999,moving_in_room
2025-12-04T11:31:56.756271,11:04,0,empty,IN,999,moving_in_room
2025-12-04T11:31:57.257681,11:06,0,empty,IN,999,moving_in_room
2025-12-04T11:31:57.757894,11:07,0,empty,IN,999,moving_in_room
2025-12-04T11:31:58.258095,11:08,0,empty,IN,999,moving_in_room
2025-12-04T11:31:58.758295,11:09,0,empty,IN,999,moving_in_room
2025-12-04T11:31:59.258492,11:10,0,empty,IN,999,moving_in_room
